Date,Open,High,Low,Close,Adj Close,Volume
10/10/2019,49.056000,49.855999,48.316002,48.948002,48.948002,31416500
10/11/2019,49.430000,50.216000,49.362000,49.577999,49.577999,42377000
10/14/2019,49.580002,51.709999,49.425999,51.391998,51.391998,51025000
10/15/2019,51.540001,52.000000,50.824001,51.577999,51.577999,32164000
10/16/2019,51.478001,52.419998,51.383999,51.950001,51.950001,33420500
10/17/2019,52.500000,52.956001,52.034000,52.394001,52.394001,23846500
10/18/2019,52.139999,52.560001,51.020000,51.389999,51.389999,28749000
10/21/2019,51.666000,51.900002,50.035999,50.700001,50.700001,25101500
10/22/2019,50.863998,51.666000,50.169998,51.116001,51.116001,23004000
10/23/2019,50.900002,51.228001,50.270000,50.936001,50.936001,26305500
10/24/2019,59.674000,60.986000,57.840000,59.936001,59.936001,148604500
10/25/2019,59.543999,66.000000,59.222000,65.625999,65.625999,150030500
10/28/2019,65.508003,68.167999,64.519997,65.542000,65.542000,94351500
10/29/2019,63.998001,64.860001,62.950001,63.243999,63.243999,63421500
10/30/2019,62.599998,63.757999,61.993999,63.001999,63.001999,48209000
10/31/2019,62.619999,63.799999,62.599998,62.984001,62.984001,25335000
11/1/2019,63.264000,63.296001,61.959999,62.661999,62.661999,31919500
11/4/2019,62.959999,64.388000,61.852001,63.493999,63.493999,43935000
11/5/2019,63.924000,64.702003,63.223999,63.444000,63.444000,34717000
11/6/2019,63.599998,65.344002,62.900002,65.316002,65.316002,39704500
11/7/2019,65.828003,68.300003,65.603996,67.108002,67.108002,72336500
11/8/2019,66.900002,67.491997,66.500000,67.428001,67.428001,30346000
11/11/2019,68.790001,69.837997,68.400002,69.017998,69.017998,49933500
11/12/2019,69.379997,70.073997,68.807999,69.986000,69.986000,36797000
11/13/2019,71.000000,71.265999,69.036003,69.222000,69.222000,42100500
11/14/2019,69.222000,70.767998,68.582001,69.870003,69.870003,32324500
11/15/2019,70.127998,70.559998,69.671997,70.433998,70.433998,24045000
11/18/2019,70.584000,70.629997,69.220001,69.998001,69.998001,22002000
11/19/2019,70.349998,71.998001,69.559998,71.903999,71.903999,38624000
11/20/2019,72.000000,72.239998,69.914001,70.444000,70.444000,33625500
11/21/2019,70.902000,72.167999,70.800003,70.966003,70.966003,30550000
11/22/2019,68.031998,68.199997,66.000000,66.608002,66.608002,84353000
11/25/2019,68.863998,68.914001,66.891998,67.267998,67.267998,61697500
11/26/2019,67.054001,67.099998,65.419998,65.783997,65.783997,39737000
11/27/2019,66.223999,66.786003,65.713997,66.258003,66.258003,27778000
11/29/2019,66.222000,66.251999,65.500000,65.987999,65.987999,12328000
12/2/2019,65.879997,67.276001,65.737999,66.973999,66.973999,30372500
12/3/2019,66.524002,67.582001,66.438004,67.239998,67.239998,32868500
12/4/2019,67.550003,67.571999,66.570000,66.606003,66.606003,27665000
12/5/2019,66.566002,66.884003,65.449997,66.073997,66.073997,18623000
12/6/2019,67.000000,67.772003,66.954002,67.178001,67.178001,38062000
12/9/2019,67.318001,68.889999,67.015999,67.905998,67.905998,45115500
12/10/2019,67.991997,70.146004,67.862000,69.767998,69.767998,44141500
12/11/2019,70.375999,71.438004,70.218002,70.540001,70.540001,34489000
12/12/2019,70.984001,72.547997,70.646004,71.935997,71.935997,38819500
12/13/2019,72.209999,73.042000,70.928001,71.678001,71.678001,32854500
12/16/2019,72.510002,76.722000,72.500000,76.300003,76.300003,90871000
12/17/2019,75.797997,77.099998,75.180000,75.797997,75.797997,42484000
12/18/2019,76.125999,79.043999,76.115997,78.629997,78.629997,70605000
12/19/2019,79.463997,81.370003,79.300003,80.807999,80.807999,90535500
12/20/2019,82.057999,82.599998,80.038002,81.117996,81.117996,73763500
12/23/2019,82.356003,84.402000,82.000000,83.844002,83.844002,66598000
12/24/2019,83.671997,85.094002,82.538002,85.050003,85.050003,40273500
12/26/2019,85.582001,86.695999,85.269997,86.188004,86.188004,53169500
12/27/2019,87.000000,87.061996,85.222000,86.075996,86.075996,49728500
12/30/2019,85.758003,85.800003,81.851997,82.940002,82.940002,62932000
12/31/2019,81.000000,84.258003,80.416000,83.666000,83.666000,51428500
1/2/2020,84.900002,86.139999,84.342003,86.052002,86.052002,47660500
1/3/2020,88.099998,90.800003,87.384003,88.601997,88.601997,88892500
1/6/2020,88.094002,90.311996,88.000000,90.307999,90.307999,50665000
1/7/2020,92.279999,94.325996,90.671997,93.811996,93.811996,89410500
1/8/2020,94.739998,99.697998,93.646004,98.428001,98.428001,155721500
1/9/2020,99.419998,99.760002,94.573997,96.267998,96.267998,142202000
1/10/2020,96.358002,96.987999,94.739998,95.629997,95.629997,64797500
1/13/2020,98.699997,105.125999,98.400002,104.972000,104.972000,132588000
1/14/2020,108.851997,109.482002,104.980003,107.584000,107.584000,144981000
1/15/2020,105.952003,107.568001,103.358002,103.699997,103.699997,86844000
1/16/2020,98.750000,102.891998,98.433998,102.697998,102.697998,108683500
1/17/2020,101.522003,103.134003,100.632004,102.099998,102.099998,68145500
1/21/2020,106.050003,109.716003,105.681999,109.440002,109.440002,89017500
1/22/2020,114.377998,118.900002,111.820000,113.912003,113.912003,156845000
1/23/2020,112.849998,116.400002,111.120003,114.440002,114.440002,98255000
1/24/2020,114.125999,114.772003,110.851997,112.963997,112.963997,71768000
1/27/2020,108.398003,112.888000,107.856003,111.603996,111.603996,68040500
1/28/2020,113.697998,115.362000,111.615997,113.379997,113.379997,58942500
1/29/2020,115.138000,117.959999,113.486000,116.197998,116.197998,89007500
1/30/2020,126.484001,130.175995,123.599998,128.162003,128.162003,145028500
1/31/2020,128.000000,130.600006,126.503998,130.113998,130.113998,78596500
2/3/2020,134.738007,157.227997,134.703995,156.000000,156.000000,236167500
2/4/2020,176.591995,193.798004,166.776001,177.412003,177.412003,304694000
2/5/2020,164.651993,169.195999,140.822006,146.940002,146.940002,242119000
2/6/2020,139.983994,159.166000,137.399994,149.792007,149.792007,199404000
2/7/2020,146.110001,153.949997,146.000000,149.613998,149.613998,85317500
2/10/2020,160.000000,163.998001,150.479996,154.255997,154.255997,123446000
2/11/2020,153.757996,156.701996,151.600006,154.876007,154.876007,58487500
2/12/2020,155.574005,157.949997,152.673996,153.457993,153.457993,60112500
2/13/2020,148.367996,163.600006,147.000000,160.800003,160.800003,131446500
2/14/2020,157.444000,162.593994,157.100006,160.005997,160.005997,78468500
2/18/2020,168.320007,172.000000,166.472000,171.679993,171.679993,81908500
2/19/2020,184.699997,188.955994,180.203995,183.483994,183.483994,127115000
2/20/2020,182.389999,182.399994,171.988007,179.882004,179.882004,88174500
2/21/2020,181.395996,182.612000,176.089996,180.199997,180.199997,71574000
2/24/2020,167.800003,172.699997,164.440002,166.757996,166.757996,75961000
2/25/2020,169.800003,171.320007,157.399994,159.981995,159.981995,86452500
2/26/2020,156.500000,162.662003,155.222000,155.759995,155.759995,70427500
2/27/2020,146.000000,147.953995,133.800003,135.800003,135.800003,121386000
2/28/2020,125.940002,138.104004,122.304001,133.598007,133.598007,122821000
3/2/2020,142.251999,148.738007,137.334000,148.723999,148.723999,100975000
3/3/2020,161.000000,161.395996,143.222000,149.102005,149.102005,128920000
3/4/2020,152.792007,153.304001,144.945999,149.899994,149.899994,75245000
3/5/2020,144.753998,149.149994,143.613998,144.908005,144.908005,54263500
3/6/2020,138.000000,141.399994,136.854004,140.695999,140.695999,63314500
3/9/2020,121.078003,132.600006,121.000000,121.599998,121.599998,85368500
3/10/2020,131.886002,133.600006,121.599998,129.065994,129.065994,77972000
3/11/2020,128.039993,130.716003,122.599998,126.846001,126.846001,66612500
3/12/2020,116.178001,118.900002,109.250000,112.110001,112.110001,94545500
3/13/2020,119.000000,121.514000,100.400002,109.323997,109.323997,113201500
3/16/2020,93.900002,98.973999,88.433998,89.014000,89.014000,102447500
3/17/2020,88.001999,94.370003,79.199997,86.040001,86.040001,119973000
3/18/2020,77.800003,80.972000,70.101997,72.244003,72.244003,118931000
3/19/2020,74.940002,90.400002,71.692001,85.528000,85.528000,150977500
3/20/2020,87.639999,95.400002,85.157997,85.505997,85.505997,141427500
3/23/2020,86.720001,88.400002,82.099998,86.858002,86.858002,82272500
3/24/2020,95.459999,102.737999,94.800003,101.000000,101.000000,114476000
3/25/2020,109.050003,111.400002,102.222000,107.849998,107.849998,106113500
3/26/2020,109.477997,112.000000,102.449997,105.632004,105.632004,86903500
